英文原文	真实法文	模型预测法文
OK, let's assume you're right.	D'accord, supposons que tu aies raison.	D'accord, <unk> tu as raison.
How can you be sure of that?	Comment peux-tu en être sûre ?	Comment pouvez-vous être sûre de cela ?
I get asked that question a lot.	On me pose beaucoup cette question.	Je te suis posé ce question beaucoup.
Do you have any plans for tonight?	As-tu des plans pour ce soir ?	As-tu des projets pour ce soir ?
Give me a hammer.	Donnez-moi un marteau.	Donnez-moi une marteau.
You should assume that anything you do online is public.	On doit supposer que tout ce qu'on fait en ligne est public.	Tu devrais être tout ce que vous faites à faire est en public.
That meat is chicken.	Cette viande, c'est du poulet.	Ce viande est <unk>
She loves shopping.	Elle adore faire les courses.	Elle adore faire des courses.
That should be kept between us.	Que cela reste entre nous!	Ça devrait être <unk> entre nous.
I don't deserve to be this happy.	Je ne mérite pas d'être aussi heureuse.	Je ne mérite pas être heureux.
Why would I tell anyone?	Pourquoi le dirais-je à quiconque ?	Pourquoi quiconque me dire qui que ce soit ?
Tom looked in the refrigerator.	Tom a regardé dans le frigidaire.	Tom regarda dans le frigo.
They are about to start.	Ils sont sur le point de commencer.	Elles sont à partir de commencer.
I bought it for about twelve dollars.	Je l'ai acheté pour une douzaine de dollars.	Je l'ai acheté pour le point de se <unk>
I can't untie this knot.	Je ne parviens pas à défaire ce nœud.	Je n'arrive pas à <unk> cette <unk>
I love Boston.	J'adore Boston.	J'adore Boston.
I just want to talk with you a little while.	Je veux juste converser avec vous un petit moment.	Je veux juste parler avec toi un peu de temps.
Have you given any thought to having dinner with me?	As-tu réfléchi le moins du monde à dîner avec moi ?	As-tu donné de moindre moindre moindre <unk> ?
I can't believe we finally made it.	Je n'arrive pas à croire que nous y avons finalement réussi.	Je n'arrive pas à croire que nous l'avons fait.
We can travel together.	Nous pouvons voyager ensemble.	Nous pouvons voyager ensemble.
She exuded nothing but confidence going into the final round.	Rien n'émanait d'elle autre que la confiance en allant en phase finale.	Elle ne <unk> rien d'autre en <unk> dans le <unk>
I couldn't take that chance.	Je n'ai pas pu saisir cette chance.	Je ne pourrais pas prendre cette chance.
I'm moving.	Je suis en train de déménager.	Je suis <unk>
This job is kind of boring.	Ce boulot est plutôt ennuyeux.	Ce boulot est un genre de ennuyeux.
I just don't want your dog in my house.	Je ne veux tout simplement pas de ton chien dans ma maison.	Je ne veux simplement pas votre chien dans ma maison.
When does he come?	Quand vient-il?	Quand est-ce qu'il se trouve ?
Do you mind if we join you?	Voyez-vous un inconvénient à ce que nous nous joignions à vous ?	Voyez-vous un inconvénient à ce que nous vous <unk> ?
Do you have any aspirin on you?	Avez-vous de l'aspirine avec vous ?	Avez-vous un moindre moindre anniversaire ?
You can still see the ship.	On peut encore voir le bateau.	Tu peux encore voir le navire.
He has bought a new car.	Il a acheté une nouvelle voiture.	Il a acheté une nouvelle voiture.
Go ahead.	Passe devant !	Va <unk>
I'm not sure what it was, but it sounded like a gunshot.	Je ne suis pas sûre de ce dont il s'agissait, mais ça a fait le bruit d'une détonation.	Je ne suis pas sûr de ce que c'est vrai.
I do not agree with you at all.	Je ne suis pas du tout d'accord avec toi.	Je ne suis pas d'accord avec vous.
I don't yet know what I'm going to do.	Je ne sais pas encore ce que je vais faire.	Je ne sais pas encore ce que je vais faire.
You don't get it, do you?	Tu ne comprends pas, si ?	Vous ne <unk> pas ?
Tell me what to do here.	Dites-moi quoi faire ici !	Dis-moi ce que je fais ici.
Just pretend you don't know me.	Fais semblant de ne pas me connaître.	Je viens de ne pas que vous ne connaisse pas.
What does it cost to build a new house in this neighborhood?	Que coûte la construction d'une maison dans ce coin ?	Que <unk> de passer une nouvelle maison dans cette maison ?
Don't make me come back here.	Ne me fais pas revenir ici !	Ne m'oblige pas à retourner ici.
Would you be willing to help?	Serais-tu prêt à aider ?	Serais-tu disposée à aider ?
Would you like to have some tea?	Voudriez-vous un peu de thé ?	Aimeriez-vous prendre des chansons ?
I didn't graduate.	Je n'ai pas été diplômée.	Je n'ai pas <unk>
I rescued you.	Je vous ai sauvé.	Je t'ai sauvée.
We were terrified.	Nous étions terrifiées.	Nous étions <unk>
Ants and giraffes are distant relatives.	Les fourmis et les girafes sont des parents éloignés.	Les <unk> et <unk> sont <unk>
The teacher treated all the students fairly.	L'enseignant traita équitablement tous les étudiants.	Le professeur <unk> toutes les étudiants <unk>
I think Tom looks like John.	Je pense que Tom ressemble à John.	Je pense que Tom ressemble à John.
I was disgusted.	J'étais dégoûtée.	J'étais <unk>
Is anything happening?	Quoi que ce soit est-il en train d'avoir lieu ?	Est-ce que ce soit que ce soit d'autre ?
You made the same mistake.	Tu as commis la même erreur.	Tu as fait le même erreur.
Prepare yourself.	Préparez-vous !	<unk>
How interesting!	Comme c'est intéressant !	Comme c'est <unk> ?
Strive to be happy.	Efforcez-vous d'être heureuses.	Efforcez-vous d'être heureux.
He has knowledge and experience as well.	Il a des connaissances et de l'expérience.	Il a les <unk> et bien <unk>
I was very reluctant.	J'étais très réticent.	J'étais très <unk>
I thought they wouldn't like you.	Je pensais qu'ils ne vous apprécieraient pas.	Je pensais qu'ils ne vous <unk> pas.
Where do you live?	T'as où les vaches ?	Où vivez-vous ?
I didn't tell anyone about it.	Je n'ai parlé de ça à personne.	Je ne le dis à personne.
My dog follows me whenever I leave the room.	Mon chien me suit, chaque fois que je quitte la pièce.	Mon chien m'a suit jusqu'à la pièce.
Have you tried Japanese beer?	Avez-vous goûté la bière japonaise ?	As-tu essayé de bière japonaise ?
What do you think might be causing the problem?	Que pensez-vous pourrait être la cause du problème?	Que pensez-vous qu'il pourrait être en train de faire le problème ?
That jacket is way too big for you.	Cette veste est beaucoup trop large pour toi.	Cette veste est trop grande pour toi.
Keep in touch.	Restons en contact !	Continuez à contact.
He lives in a big house.	Il vit dans une grande maison.	Il vit dans une grande maison.
I believe Tom will be acquitted.	Je suis sûre que Tom sera acquitté.	Je crois que Tom sera acquitté.
I seasoned the fish with salt and pepper.	J'ai assaisonné le poisson avec du sel et du poivre.	J'ai <unk> la poissons avec des <unk> et <unk>
You've come too early.	Tu es venu trop tôt.	Vous êtes trop tôt.
Be careful or you'll strip the gears.	Fais gaffe ou tu vas abîmer la boîte de vitesse !	Sois prudent ou tu auras les <unk>
You're the teacher.	C'est toi la professeur.	Vous êtes l'instituteur.
She got home at seven.	Elle est arrivée chez elle à sept heures.	Elle s'est levé à la sept heures.
This house is not for sale.	Cette maison n'est pas à vendre.	Cette maison n'est pas claire.
Best of luck to you.	Je te souhaite la meilleure des chances.	<unk> de chance à te <unk>
That book is theirs.	Ce livre est le leur.	Ce livre est <unk>
Skiing is my favorite sport.	Le ski est mon sport préféré.	Le <unk> est mon <unk>
I'm too old for you.	Je suis trop vieille pour vous.	Je suis trop vieux pour toi.
You don't have to tell me this.	Tu n'es pas obligée de me dire ça.	Vous n'êtes pas obligées de me dire ça.
Did you foresee this?	L'as-tu prévu ?	Avez-vous <unk> ceci ?
I really am glad you're here.	Je suis vraiment content que vous soyez là.	Je suis vraiment contente que vous soyez là.
It is warmer today than yesterday.	Il fait plus chaud aujourd'hui qu'hier.	Il est plus plus plus occupé qu'hier.
Marriage is the last thing on my mind.	Le mariage est la dernière chose que j'ai en tête.	Le travail est la dernière fois à l'esprit.
My mother feels better.	Ma mère se sent mieux.	Ma mère est mieux.
I don't need your protection.	Je n'ai pas besoin de votre protection.	Je n'ai pas besoin de votre protection.
Bring it back when you're done.	Rapportez-le quand vous avez fini.	<unk> quand vous êtes fait.
I speak French.	Je parle français.	Je parle français.
I have to borrow some money.	Il faut que j'emprunte de l'argent.	Il me faut emprunter d'argent.
At the best hotels, there is always someone at your beck and call.	Dans les meilleurs hôtels, il y a toujours quelqu'un à votre entière disposition.	Au meilleur <unk> il y a toujours là dans votre père est à votre <unk>
I'm sorry I yelled at you.	Je suis désolé de vous avoir hurlé dessus.	Je suis désolé de t'avoir hurlé dessus.
I don't care what color ink, just bring me a pen.	La couleur m'est indifférente, apporte-moi juste un stylo.	Je me fiche de ce que <unk> je viens de me <unk>
I got one for Christmas.	J'en ai eu un pour Noël.	J'ai une Noël.
How much is it per box?	Combien est-ce par boîte ?	Combien coûte <unk> ?
I thought you were injured.	J'ai pensé que vous étiez blessées.	Je pensais que vous étiez blessé.
There is plenty of water.	Il y a plein d'eau.	Il y a de plein d'eau.
What I really want to do is to get some sleep.	Ce que je veux vraiment, c'est prendre du repos.	Que voulez-vous vraiment faire du sommeil ?
I want to see the world.	Je veux voir le monde.	Je veux voir le monde.
Get that thing off of me.	Retire-moi cette chose !	<unk> cette chose !
She complained to him about the noise.	Elle se plaignit à lui à propos du bruit.	Elle lui a plaignit à son bruit.
"I can make it to my class on time," he thought.	"Je peux arriver en classe à temps", pensa-t-il.	Je peux le faire mon classe sur le <unk>
Don't just stand there.	Ne restez pas plantée là !	Ne restez pas planté là-bas.
It'll be hard to persuade Tom.	Ce sera difficile de persuader Tom.	Ça sera dur de persuader Tom.
I don't want any problems.	Je ne veux pas de problèmes.	Je ne veux aucun problème.
I'm already done.	J'ai déjà fini.	Je suis déjà fait.
His nose bled.	Il avait le nez qui saignait.	Sa <unk>
She is a typist.	C'est une dactylographe.	Elle est une <unk>
How much is the annual membership fee?	Que coûte la cotisation annuelle ?	Combien coûte la <unk> <unk> <unk> ?
Come quickly.	Viens vite.	Venez vite.
She trusted you.	Elle vous faisait confiance.	Elle a fait confiance.
It'd be better if you didn't come today.	Il serait préférable que tu ne viennes pas aujourd'hui.	On vaudrait si tu ne sois pas venu aujourd'hui.
Tom lost his boarding pass.	Tom a perdu sa carte d'embarquement.	Tom perdit son <unk>
It's extremely unfair.	C'est extrêmement injuste.	C'est extrêmement injuste.
I never thought it would end like this.	Je n'ai jamais pensé que ça se terminerait comme ça.	Je n'aurais jamais pensé que ça serait ça.
Who did you come with?	Avec qui es-tu venu ?	Avec qui êtes-vous parvenus ?
I think she's hiding something.	J'ai l'impression qu'elle cache quelque chose.	Je pense que nous <unk> quelque chose.
She writes to her son from time to time.	Elle écrit à son fils de temps en temps.	Elle écrit de son fils de temps à temps.
It's your money.	Il s'agit de votre argent.	C'est votre argent.
Don't try to make me angry.	N'essaie pas de m'énerver.	N'essayez pas de me faire énervé.
She gave him his first kiss.	Elle lui donna son premier baiser.	Elle lui donna son premier baiser.
Shut up. If you don't, you'll be thrown out.	Fermez-la. Sinon, vous serez viré.	<unk> Sinon, vous serez <unk>
The search for alien life is one of humankind's greatest technological challenges.	La recherche de vie extra-terrestre est l'un des défis technologiques majeurs de l'humanité.	Le <unk> pour <unk> la vie est une vie <unk> <unk> <unk> <unk>
It was raining so hard that we had to put off our departure.	Il pleuvait tellement fort que nous avons dû remettre notre départ.	Il pleuvait tellement dur que nous avions déjà <unk> nos <unk>
Prince William is second in line to the English throne.	Le prince Guillaume est le second en ligne de succession au trône d'Angleterre.	<unk> est <unk> en <unk> à <unk>
Don't you want to come inside?	Ne veux-tu pas venir à l'intérieur ?	Ne veux-tu pas venir à la crème solaire ?
He came out on top.	Il termina en tête.	Il est venu à rire.
Are you sure we've never met before?	Êtes-vous sûres que nous ne nous sommes jamais rencontrées auparavant ?	Es-tu sûre que nous ne nous sommes jamais rencontrés auparavant ?
Were you at home all morning?	Étiez-vous chez vous toute la matinée ?	Étais-tu chez lui chez nous <unk>
I wish I could have spoken Spanish.	J'aimerais avoir pu parler espagnol.	J'aimerais avoir pu me permettre de la vie.
Give me a kiss.	Donne-moi un bisou !	Donnez-moi un baiser.
My father must do the work.	Mon père doit effectuer le travail.	Mon père doit faire le travail.
This is getting complicated.	Cela se complique.	C'est parfaitement compliqué.
I go to church on Sunday.	Je vais à l'église le dimanche.	Je vais aller à l'église
We shouldn't do anything about that right now.	Nous ne devrions rien faire à ce sujet pour le moment.	Nous ne devrions rien faire de ce moment.
Please tell Tom Mary called.	Tu peux dire à Tom que Mary a appelé, s'il te plait?	Veuillez dire à Tom que Marie a lieu de Mary.
You'll break it if you're not careful.	Vous allez le briser si vous ne faites pas attention.	Tu <unk> si tu n'es pas attention.
How many plates do you want?	Combien de plats voulez-vous ?	Combien de <unk> veux-tu ?
I swear I won't tell anyone.	Je jure que je ne le dirai à personne.	Je jure que je ne le dirai personne.
I know you're hiding something.	Je sais que tu caches quelque chose.	Je sais que vous êtes quelque chose.
He often calls her names.	Il lui adresse souvent des injures.	Il lui a souvent le cœur le noms.
We left four days later.	Nous sommes partis quatre jours plus tard.	Nous sommes restés deux jours plus tard.
I can't believe I showed you that.	Je n'arrive pas à croire que je t'aie montré ça.	Je n'arrive pas à croire que je vous ai montré ça.
I don't know how to do this.	J'ignore comment faire ceci.	Je ne sais pas comment faire ça.
I hate when that happens.	Je déteste lorsque ça survient.	Je déteste quand ça arrivera.
Why don't you put some clothes on?	Pourquoi ne mettez-vous pas des vêtements ?	Pourquoi ne <unk> pas de vêtements ?
Did you get it?	Avez-vous compris ?	L'avez-vous pris ?
He told me to speak more slowly.	Il me dit que je devais parler plus lentement.	Il m'a dit de parler plus lentement.
I couldn't find it.	Je ne pus la trouver.	Je ne pouvais le trouver
Tom is getting some coffee.	Tom prend du café.	Tom commence du café.
He fainted in the middle of his speech.	Il s'est évanoui au milieu de son discours.	Il a évanoui dans le milieu de son discours.
You're very direct.	Tu es très directe.	Vous êtes très direct.
The family had its dinner at noon.	La famille a pris son déjeuner à midi.	La famille a eu sa <unk>
Oh please!	Je vous en prie !	<unk> !
After I watched TV, I went to bed.	Après avoir regardé la télévision, je suis allé me coucher.	Après avoir regardé <unk> je suis allé au lit.
I didn't want you involved in this.	Je ne voulais pas que tu sois mêlée à ça.	Je ne voulais pas que vous soyez impliqué là-dedans.
Is there anything I should know about?	Il y a quelque chose que je dois savoir ?	Y a-t-il quoi que ce soit que je devrais savoir ?
I'll leave you to it.	Je te laisse t'en occuper.	Je te <unk>
We should spend our time creating content for our website rather than wasting time worrying about minor cosmetic details.	Nous devrions consacrer notre temps à créer du contenu pour notre site web plutôt que de gâcher du temps à nous préoccuper de détails esthétiques mineurs.	Nous devrions passer de temps nos <unk> pour <unk> pour <unk> de choses à la <unk> de la <unk>
It's about four blocks from my house.	C'est environ à quatre pâtés de maison de chez moi.	Il est en train de quatre de ma maison.
I just learned six new facts about wombats.	Je viens d'apprendre six nouvelles choses à propos des wombats.	J'ai appris appris à six <unk> <unk>
Are you sure that you haven't forgotten anything?	Êtes-vous sûres de n'avoir rien oublié ?	Es-tu sûre de n'avoir rien oublié ?
The treasure is believed to lie hidden somewhere in the mountain.	On croyait que le trésor était resté caché quelque part dans la montagne.	Le <unk> est <unk> de <unk> la plus <unk>
Could you call again later, please?	Est-ce que tu pourrais retéléphoner plus tard s'il te plaît ?	Peux-tu appeler <unk> s'il vous plaît ?
We were always together.	Nous fûmes toujours ensemble.	Nous étions toujours ensemble.
"Do you have any siblings?" "No, I'm an only child."	"As-tu des frères et sœurs ?" "Non, je suis fils unique."	« <unk> que ce soit <unk> je suis un <unk> j'espère que je suis <unk>
It was unlocked.	C'était déverrouillé.	C'était <unk>
I really don't feel like talking.	Je n'ai vraiment pas envie de parler.	Je n'ai vraiment envie de parler.
Tom left me with no choice.	Tom ne m'a pas laissé le choix.	Tom m'a laissé avec ne pas de choix.
The man injured in the accident was taken to the hospital.	L'homme blessé dans l'accident a été emmené à l'hôpital.	L'homme blessé dans l'accident était à l'hôpital.
That company is managed by my older brother.	Cette entreprise est dirigée par mon frère aîné.	Cette société est <unk> par mon frère aîné.
He looked well.	Il avait l'air en bonne santé.	Il regarda bien.
I got it free.	Je l'ai eu gratuitement.	Je l'ai <unk>
Did you go anywhere during the summer vacation?	Êtes-vous allées quelque part pendant les vacances d'été ?	Avez-vous assisté dans le vacances d'été ?
I sat down next to him.	Je me suis assis près de lui.	Je m'assis le côté de lui.
I am busy today.	Je suis occupé aujourd’hui.	Je suis occupé aujourd'hui.
I have had it.	J'en ai ma claque.	J'ai eu.
Do you have anything hot to drink?	Comme boisson, qu'est-ce que vous avez de fort ?	Avez-vous quelque chose à boire ?
I'm not a fool.	Je ne suis pas idiot.	Je ne suis pas un idiote.
Governments should not be in the business of legislating morality.	Les gouvernements ne devraient pas se mêler de légiférer la moralité.	Les <unk> ne devraient pas être dans la <unk>
I'm not very busy.	Je ne suis pas très occupé.	Je ne suis pas très occupées.
I'm not above begging in order to get the job.	J'irais jusqu'à mendier afin d'obtenir ce poste.	Je ne suis pas au-dessus de vous <unk> à faire le travail.
I think you had better stick to your present job.	Je pense que vous feriez mieux de vous accrocher à votre emploi actuel.	Je pense que vous feriez mieux de rester à votre emploi.
Curiosity killed the cat.	La curiosité est un vilain défaut.	<unk> la <unk>
I think we'll be safe here.	Je pense que nous serons ici en sécurité.	Je pense que nous soyons en sécurité, ici.
Be proud of yourself.	Soyez fier de vous.	Soyez fière de toi-même.
He saw that he was wrong.	Il se rendit compte qu'il avait tort.	Il vit qu'il était erronée.
I would never have guessed that Tom couldn't swim.	Je n'aurais jamais deviné que Tom ne pouvait pas nager.	Je n'aurais jamais dû voir Tom que Tom ne pouvait nager.
Are you having dinner?	Es-tu en train de déjeuner ?	Es-tu dîner ?
They make good use of their rooms.	Ils font un bon usage de leurs chambres.	Ils font des bons usage de leurs <unk>
Stop talking and listen to me.	Arrête de parler et écoute-moi.	Arrête de parler et moi !
You're temperamental.	Vous êtes lunatiques.	Vous êtes <unk>
I felt very relieved when I heard the news.	Je me sentis très soulagée lorsque j'entendis les nouvelles.	Je me suis senti très soulagé lorsque j'avais les nouvelles.
What's this really about?	Qu'en est-il vraiment ?	Que signifie vraiment ça ?
We were held up for two hours on account of an accident.	Nous avons été retenus pendant deux heures en raison d'un accident.	Nous étions <unk> deux heures pour cent de la route.
I just want you to think about it.	Je veux simplement que tu y réfléchisses.	Je veux juste que vous y <unk>
That's really impressive.	C'est très impressionnant.	C'est vraiment impressionnant.
Are you from around here?	Es-tu des environs ?	Es-tu en train de autour de ici ?
Let me buy you another one.	Laisse-moi t'en acheter un autre.	Laissez-moi acheter une autre <unk>
The plane increased speed.	L'avion a accéléré.	L'avion a réussi à <unk>
Over 100 people were present at the party.	Plus de 100 personnes étaient présentes à la fête.	Les hommes étaient <unk> à présent à la fête.
This house is abandoned.	Cette maison est abandonnée.	Cette maison est <unk>
Could you come back a little later?	Pourriez-vous revenir un peu plus tard ?	Pourrais-tu revenir un peu plus tard ?
You can get it at a bookstore.	Vous pouvez le trouver chez un libraire.	Tu peux le faire à une librairie.
Do as I told you.	Fais comme je t'ai dit.	Fais comme je t'ai dit.
If you eat a light lunch, you're likely to avoid a mid-afternoon energy slump.	Si vous mangez un déjeuner léger, vous éviterez probablement une baisse d'énergie en milieu d'après-midi.	Si tu manges un <unk> tu auras un <unk> <unk> <unk> <unk> <unk> <unk>
Haste makes waste.	La vitesse crée de la perte.	<unk> est <unk>
I found it.	Je l'ai trouvé.	Je l'ai trouvé.
Do you play any sports?	Pratiquez-vous le moindre sport ?	Jouez-vous du moindre sport ?
I guess we should leave now.	Je crois que nous devrions partir à présent.	Je suppose que nous devrions partir maintenant.
The mail is delivered once a day.	Le courrier est distribué une fois par jour.	La population est <unk> un jour de jour.
I have an audition today.	J'ai une audition aujourd'hui.	J'ai une <unk> aujourd'hui.
Who did you vote for in the election?	Pour qui as-tu voté à l'élection ?	Qui êtes-vous voté pour le dessus ?
She agreed with him on what to do with the old car.	Elle a été d'accord avec lui sur ce qu'il convenait de faire avec la vieille voiture.	Elle lui a accepté avec lui sur ce qu'il a fait de la vieille voiture.
No one will believe me.	Personne ne me croira.	Personne ne me croira.
You're not very funny.	Vous n'êtes pas très amusant.	Vous n'êtes pas très drôle.
We need to band together to beat the enemy.	Nous devons nous unir pour battre l'ennemi.	Il nous faut remettre les <unk> à la <unk>
Keep an eye on it.	Garde un œil dessus.	Garde l'œil !
We take good care of them.	On s'occupe bien d'eux.	Nous prenons du bon de leur faire.
Something had to be done.	Il fallait faire quelque chose.	Quelque chose devait être fait.
He received a large sum of money in compensation for his injury.	Il reçut une importante somme d'argent en compensation de sa blessure.	Il a reçu une grande somme d'argent en <unk> pour son <unk>
They all did it.	Elles l'ont toutes fait.	Elles l'ont toutes.
That's pretty much all you need to know.	C'est à peu près tout ce qu'il vous faut savoir.	C'est assez de vous avez besoin de vous souhaiter savoir.
They got to be good friends.	Ils devinrent bon amis.	Elles doivent être bon amis.
I can play the piano.	Je sais jouer du piano.	Je peux jouer du piano.
Please let me know if you have any questions.	Fais-moi savoir, je te prie, si tu as la moindre question.	Veuillez me laisser si vous avez des questions à propos de questions.
She is unable to cope with stress.	Elle est incapable de faire face à la tension.	Elle est incapable de se marier avec des <unk>
There's a serious problem.	Il y a un sérieux problème.	Il y a un problème.
This is how you get results.	C'est ainsi qu'on arrive à des résultats.	C'est ainsi que vous <unk>
I can't go on with this.	Je ne peux pas continuer ça.	Je ne peux pas aller avec ça.
Did you think about it?	Y avez-vous pensé ?	Vous êtes-vous <unk> ?
It did not come off.	Ça ne s'est pas produit.	Ça ne s'est pas <unk>
She was too short to see over the fence.	Elle était trop petite pour voir par-dessus la clôture.	Elle était trop courte à voir la clôture.
This guy is great.	Ce type est extra.	Ce type est super.
I'll protect you.	Je te protègerai.	Je vous <unk>
The police are looking into it.	La police enquête.	Les policiers sont <unk>
Our destination is still a long way off.	Notre destination est encore éloignée.	Notre phrase est encore une longue <unk>
I'm used to it.	Je suis habitué.	Je suis habitué
I saw you with a tall boy.	Je t'ai vu avec un garçon de grande taille.	Je t'ai vu avec une grande garçon.
Get me up at eight.	Réveillez-moi à huit heures.	<unk> à la <unk>
She promised to marry him.	Elle a promis de l'épouser.	Elle a promis de l'épouser.
I can't get at the exact meaning of the sentence.	Je ne peux connaître le sens exact de cette peine.	Je n'arrive pas à atteindre la signification de la phrase.
I want you to think about this.	Je veux que vous y songiez.	Je veux que vous pensez à ça.
Your friends sound nice.	Tes amies ont l'air gentil.	Ton amies est <unk>
Please do not enter the room without knocking.	Veuillez ne pas entrer dans la pièce sans frapper.	S'il vous plaît, ne <unk> pas la pièce sans <unk>
Try not to laugh.	Essaie de ne pas rire.	Essaie de ne pas rire.
Do you feel up to it?	T'en sens-tu à la hauteur ?	Me <unk> ?
We are happy to have you join our team.	Nous sommes heureux que vous ayez rejoint notre équipe.	Nous sommes heureux de vous joindre nos équipe.
No one ever comes here.	Personne ne vient jamais ici.	Personne n'est jamais ici.
She's giving each child two apples.	Elle donne, à chaque enfant, deux pommes.	Elle est <unk> deux pommes.
She was a great help to me.	Elle fût d'un grand secours pour moi.	Elle était une grande pour m'aider.
Tom doesn't know why Mary doesn't want him at her party.	Tom ne sait pas pourquoi Marie ne veut pas de lui à sa soirée.	Tom ne sait pas pourquoi Marie ne le dise sa fête.
